Duration,Elements,element_rate,pk_freq(max),min_req(max),max_freq(max),bandw(max),entropy(max),peak_freq(mean),min_freq(mean),max_freq(mean),bandw(mean),entropy(mean)
0.11741,158,0.00074,46000,7000,73000,65000,0.348,46000,2000,82000,79000,0.435
0.18926,152,0.00125,30000,7000,58000,51000,0.346,16000,2000,83000,80000,0.438
0.08934,95,0.00094,14000,5000,39000,33000,0.283,14000,2000,67000,64000,0.362
0.08631,97,0.00089,11000,2000,60000,57000,0.28,13000,2000,74000,71000,0.402
0.1277,168,0.00076,16000,7000,60000,52000,0.328,14000,2000,87000,84000,0.452
0.12462,147,0.00083,35000,2000,71000,68000,0.349,43000,1000,74000,73000,0.397
0.091,79,0.00115,57000,17000,74000,57000,0.317,55000,2000,82000,79000,0.41
0.14754,156,0.00095,55000,16000,65000,49000,0.329,57000,4000,80000,76000,0.402
0.15031,166,0.00091,64000,30000,86000,55000,0.368,58000,4000,83000,79000,0.417
0.17838,205,0.00087,52000,11000,80000,68000,0.354,54000,2000,90000,87000,0.458
0.15402,156,0.00099,55000,16000,83000,67000,0.357,54000,2000,89000,86000,0.45
0.17941,74,0.00245,52000,5000,71000,65000,0.316,54000,2000,89000,86000,0.43
0.13175,148,0.00089,51000,7000,83000,76000,0.361,54000,2000,90000,87000,0.432
0.18982,262,0.00072,58000,16000,82000,65000,0.344,57000,2000,90000,87000,0.443
0.18491,165,0.00112,57000,7000,83000,76000,0.365,57000,2000,95000,92000,0.444
0.14677,132,0.00112,57000,16000,77000,61000,0.326,57000,2000,89000,86000,0.433
0.14852,152,0.00098,7000,1000,74000,73000,0.388,52000,1000,92000,90000,0.458
0.11793,64,0.00187,54000,5000,80000,74000,0.349,52000,2000,86000,83000,0.426
0.15146,214,0.00071,49000,23000,83000,60000,0.332,52000,2000,93000,90000,0.453
0.20689,128,0.00162,52000,26000,70000,43000,0.273,54000,2000,89000,86000,0.427
0.17668,118,0.0015,54000,7000,84000,77000,0.365,39000,4000,90000,86000,0.436
0.14105,84,0.00169,24000,16000,68000,52000,0.326,23000,2000,93000,90000,0.446
0.14967,105,0.00142,54000,24000,92000,67000,0.317,55000,5000,90000,84000,0.426
0.21469,152,0.00142,58000,16000,76000,60000,0.341,54000,2000,95000,92000,0.449
0.17676,210,0.00084,55000,14000,76000,61000,0.335,57000,2000,93000,90000,0.446
0.08038,77,0.00105,52000,7000,86000,79000,0.366,55000,1000,95000,93000,0.454
0.15372,215,0.00071,54000,16000,70000,54000,0.341,54000,2000,92000,89000,0.446
0.15637,151,0.00104,54000,49000,61000,11000,0.16,55000,4000,92000,87000,0.443
0.19345,141,0.00136,55000,23000,79000,55000,0.344,42000,2000,95000,92000,0.436
0.17472,124,0.0014,52000,8000,82000,73000,0.363,54000,2000,86000,83000,0.426
0.24256,238,0.00102,52000,14000,87000,73000,0.355,52000,2000,95000,92000,0.451
0.16904,131,0.00129,61000,8000,87000,79000,0.374,58000,4000,96000,92000,0.446
0.19874,214,0.00093,58000,14000,90000,76000,0.371,57000,2000,95000,92000,0.447
0.219,301,0.00073,51000,46000,64000,17000,0.211,54000,2000,93000,90000,0.441
0.16008,123,0.00131,61000,13000,76000,62000,0.35,54000,2000,93000,90000,0.45
0.1815,82,0.00223,181000,48000,199000,150000,0.354,49000,1000,96000,95000,0.47
0.12949,134,0.00097,29000,7000,79000,71000,0.368,57000,2000,90000,87000,0.44
0.37687,283,0.00133,61000,17000,80000,62000,0.338,57000,4000,86000,82000,0.473
0.21102,80,0.00267,57000,5000,76000,70000,0.351,55000,2000,84000,82000,0.448
