ID_Call,ID_Couple,Intruder,Owner,Sex,duration,element rate,peak freq(max),min freq(max),max freq(max),bandw(max),entropy(max),peak freq(mean),min freq(mean),max freq(mean),bandw(mean),entropy(mean),PC1,PC2,PC3,PC4,PC5
79,6,231,179,Male,0.1352,0.0016,44900,18000,73200,55100,0.562,43900,10700,78100,67300,0.659,0.675335303,-0.059983022,3.363935292,-0.144610548,-0.219471437
80,6,231,179,Male,0.1482,0.0017,47300,22900,66400,43400,0.503,47300,5800,73700,67800,0.638,0.209821102,0.339794168,2.871475126,-0.29151462,0.471518186
81,6,231,179,Male,0.1557,0.0022,46800,23400,73200,49800,0.553,46800,5800,77100,71200,0.654,0.89509785,0.075089718,3.219800596,-0.039545914,0.340192137
82,6,231,179,Male,0.1794,0.0028,42900,29700,71200,41500,0.525,43400,24900,71200,46300,0.579,-1.02080622,2.01101593,3.930004365,0.082095617,-0.335947389
83,6,231,179,Male,0.104,0.0019,43900,23400,61500,38000,0.497,44400,5800,73700,67800,0.615,-0.27087531,0.406909333,2.664467048,0.086882853,0.412702163
84,6,231,179,Male,0.0003,0,7300,3400,43400,40000,0.449,7300,3400,43400,40000,0.456,-4.47845506,-1.892213346,1.31065237,0.121991447,-0.457935258
85,6,231,179,Male,0.1765,0.0053,45800,18500,74200,55600,0.606,45800,4800,80500,75600,0.694,1.47082552,-0.563770717,4.078681695,0.879808976,0.538438185
86,6,231,179,Male,0.164,0.0013,54100,25800,72200,46300,0.575,50200,7300,80000,72700,0.662,1.177744267,0.511619944,3.370842423,-0.38535252,0.360667195
87,6,231,179,Male,0.1324,0.002,56100,27300,77100,49800,0.578,56600,14600,79500,64900,0.645,1.025819584,1.254880045,3.790515533,-0.300615674,-0.509618495
88,6,231,179,Male,0.1624,0.0017,59500,28800,73700,44900,0.524,59000,26300,74200,47800,0.575,-0.302809909,2.661746541,3.854118947,-0.832673808,-0.987667235
89,7,224,190,Male,0.08337,0.00112,64000,23000,76000,52000,0.354,43000,1000,84000,83000,0.436,0.790068663,0.885258877,-0.383220558,-0.126964739,-0.133133877
90,7,224,190,Male,0.08452,0.00171,38000,21000,76000,54000,0.326,30000,2000,80000,77000,0.448,-0.199929217,0.081858873,-0.393182696,0.564456652,0.120031321
91,7,224,190,Male,0.06348,0.00098,32000,5000,73000,67000,0.348,27000,4000,77000,73000,0.414,-0.675960955,-0.978539696,-0.550576881,0.068175328,-0.717001809
92,7,224,190,Male,0.05896,0.00141,42000,23000,67000,43000,0.313,41000,2000,77000,74000,0.403,-0.807885665,0.809624805,-0.530336249,0.109684405,0.048776047
93,7,224,190,Male,0.04147,0.00185,39000,19000,62000,43000,0.322,39000,2000,73000,70000,0.411,-1.289835156,0.468849114,-0.260426033,0.217518267,-0.072861011
94,7,224,190,Male,0.09442,0.00114,39000,8000,73000,64000,0.334,38000,2000,79000,76000,0.435,-0.16445559,-0.558679495,-0.452985757,-0.311692369,-0.379104442
95,7,224,190,Male,0.08768,0.00106,29000,10000,73000,62000,0.34,32000,2000,77000,74000,0.424,-0.595895716,-0.743507102,-0.497121842,-0.022818129,-0.265565027
96,7,224,190,Male,0.13939,0.0016,27000,10000,71000,61000,0.347,33000,2000,76000,73000,0.415,-0.711641678,-0.745910096,-0.309064626,-0.127718847,0.12855005
97,7,224,190,Male,0.10862,0.00098,27000,2000,70000,67000,0.351,26000,2000,79000,76000,0.433,-0.592685774,-1.429689715,-0.516492494,-0.049162529,-0.167138483
98,7,224,190,Male,0.06634,0.00108,29000,19000,73000,54000,0.299,29000,2000,83000,80000,0.414,-0.501085333,-0.083846676,-1.029138444,0.547370308,0.122113673
99,7,224,190,Male,0.08409,0.00108,26000,2000,74000,71000,0.385,29000,2000,84000,82000,0.444,0.026453778,-1.567042842,-0.41878592,0.134525905,-0.42066343
100,7,224,190,Male,0.07808,0.00108,64000,11000,83000,71000,0.364,27000,4000,83000,79000,0.412,0.767917771,-0.138907877,-0.629233896,0.056919532,-0.948395374
101,7,224,190,Male,0.11993,0.00103,36000,16000,71000,55000,0.347,36000,2000,79000,76000,0.415,-0.4054483,-0.096085289,-0.419816507,-0.168676244,0.150278713
102,7,224,190,Male,0.0698,0.00122,61000,4000,76000,71000,0.352,62000,2000,84000,82000,0.435,1.090413959,0.002566678,-0.315224177,-1.178342333,-1.213036392
103,7,224,190,Male,0.11054,0.001,29000,4000,76000,71000,0.335,29000,1000,95000,93000,0.467,0.813662768,-1.380235149,-0.986511365,0.316618061,0.144019401
104,7,224,190,Male,0.04266,0.00109,30000,5000,77000,71000,0.339,30000,2000,77000,74000,0.377,-0.546096171,-1.077290621,-0.973679848,0.052722368,-1.001589225
105,7,224,190,Male,0.09173,0.00104,32000,2000,71000,68000,0.347,33000,1000,83000,82000,0.438,-0.054962133,-1.277275925,-0.658686796,-0.127494153,-0.280037984
106,7,224,190,Male,0.0026,0,17000,2000,45000,42000,0.294,16000,2000,70000,67000,0.326,-3.237897774,-1.012593008,-1.471075627,0.238567853,-0.080915449
107,7,224,190,Male,0.09514,0.00099,29000,2000,70000,67000,0.333,30000,2000,79000,76000,0.413,-0.616457317,-1.222760827,-0.744410111,-0.167483145,-0.341998251
108,7,224,190,Male,0.06647,0.00097,24000,13000,82000,68000,0.352,29000,2000,86000,83000,0.421,0.205237607,-0.880975548,-0.872680479,0.477853048,-0.391494732
109,7,224,190,Male,0.11891,0.00169,19000,4000,82000,77000,0.345,19000,2000,82000,79000,0.445,-0.055456101,-1.826773212,-0.649016696,0.554961826,-0.204260228
